xid;data_hora;;;;;;
URU_CAL_Energia Anual Total (GWh);2026-07-15 10:02:01.6790;;;;;;
URU_CAL_Energia Anual Total (GWh);2026-07-15 10:03:46.3740;;;;;;
URU_CAL_Energia Anual Total (GWh);2026-07-15 10:07:01.6790;;;;;;
URU_CAL_Energia Anual Total (GWh);2026-07-15 10:08:46.3740;;;;;;
URU_CAL_Energia Diária Total (KWh);2026-07-15 10:02:01.6630;;;;;;
URU_CAL_Energia Diária Total (KWh);2026-07-15 10:03:46.3740;;;;;;
URU_CAL_Energia Diária Total (KWh);2026-07-15 10:07:01.6630;;;;;;
URU_CAL_Energia Diária Total (KWh);2026-07-15 10:08:46.3740;;;;;;
URU_CAL_Energia Esperada 1 (KWh);2026-07-15 10:02:01.7100;;;;;;
URU_CAL_Energia Esperada 1 (KWh);2026-07-15 10:03:46.4050;;;;;;
URU_CAL_Energia Esperada 1 (KWh);2026-07-15 10:07:01.7100;;;;;;
URU_CAL_Energia Esperada 1 (KWh);2026-07-15 10:08:46.4050;;;;;;
URU_CAL_Energia Esperada Total (KWh);2026-07-15 10:02:01.6630;;;;;;
URU_CAL_Energia Esperada Total (KWh);2026-07-15 10:03:46.3740;;;;;;
URU_CAL_Energia Esperada Total (KWh);2026-07-15 10:07:01.6630;;;;;;
URU_CAL_Energia Esperada Total (KWh);2026-07-15 10:08:46.3740;;;;;;
URU_CAL_Energia Mensal 1 (MWh);2026-07-15 10:02:01.6790;;;;;;
URU_CAL_Energia Mensal 1 (MWh);2026-07-15 10:03:46.3890;;;;;;
URU_CAL_Energia Mensal 1 (MWh);2026-07-15 10:07:01.6790;;;;;;
URU_CAL_Energia Mensal 1 (MWh);2026-07-15 10:08:46.3890;;;;;;
URU_CAL_Energia Mensal Total (MWh);2026-07-15 10:02:01.6940;;;;;;
URU_CAL_Energia Mensal Total (MWh);2026-07-15 10:02:19.5460;;;;;;
URU_CAL_Energia Mensal Total (MWh);2026-07-15 10:02:37.8120;;;;;;
URU_CAL_Energia Mensal Total (MWh);2026-07-15 10:03:46.3890;;;;;;
URU_CAL_Energia Mensal Total (MWh);2026-07-15 10:05:01.0170;;;;;;
URU_CAL_Energia Mensal Total (MWh);2026-07-15 10:08:46.3890;;;;;;
URU_CAL_Fator de Capacidade Anual Total;2026-07-15 10:02:01.6790;;;;;;
URU_CAL_Fator de Capacidade Anual Total;2026-07-15 10:03:46.3890;;;;;;
URU_CAL_Fator de Capacidade Anual Total;2026-07-15 10:07:01.6790;;;;;;
URU_CAL_Fator de Capacidade Anual Total;2026-07-15 10:08:46.3890;;;;;;
URU_CAL_Fator de Capacidade Diário 1;2026-07-15 10:02:01.2570;;;;;;
URU_CAL_Fator de Capacidade Diário 1;2026-07-15 10:03:46.0140;;;;;;
URU_CAL_Fator de Capacidade Diário 1;2026-07-15 10:07:01.2570;;;;;;
URU_CAL_Fator de Capacidade Diário 1;2026-07-15 10:08:46.0140;;;;;;
URU_CAL_Fator de Capacidade Diário Total;2026-07-15 10:02:01.6940;;;;;;
URU_CAL_Fator de Capacidade Diário Total;2026-07-15 10:03:46.3890;;;;;;
URU_CAL_Fator de Capacidade Diário Total;2026-07-15 10:07:01.6940;;;;;;
URU_CAL_Fator de Capacidade Diário Total;2026-07-15 10:08:46.3890;;;;;;
URU_CAL_Fator de Capacidade Mensal Total;2026-07-15 10:02:01.6940;;;;;;
URU_CAL_Fator de Capacidade Mensal Total;2026-07-15 10:03:46.3890;;;;;;
URU_CAL_Fator de Capacidade Mensal Total;2026-07-15 10:07:01.6940;;;;;;
URU_CAL_Fator de Capacidade Mensal Total;2026-07-15 10:08:46.3890;;;;;;
URU_CAL_Piranômetro INC - POA 5 min. (W/m²);2026-07-15 10:05:00.0000;;;;;;
URU_CAL_Piranômetro INC - POA 5 min. (W/m²);2026-07-15 10:05:00.0000;;;;;;
URU_CAL_Piranômetro INC - POA 5 min. (W/m²);2026-07-15 10:10:00.0000;;;;;;
URU_CAL_Piranômetro INC - POA 5 min. (W/m²);2026-07-15 10:10:00.0000;;;;;;
URU_CAL_Potência Ativa Total Loggers (KW);2026-07-15 10:02:01.6940;;;;;;
URU_CAL_Potência Ativa Total Loggers (KW);2026-07-15 10:03:46.3890;;;;;;
URU_CAL_Potência Ativa Total Loggers (KW);2026-07-15 10:07:01.6940;;;;;;
URU_CAL_Potência Ativa Total Loggers (KW);2026-07-15 10:08:46.3890;;;;;;
URU_CAL_PR Ajustado 1 (%);2026-07-15 10:02:55.5480;;;;;;
URU_CAL_PR Ajustado 1 (%);2026-07-15 10:03:46.4050;;;;;;
URU_CAL_PR Ajustado 1 (%);2026-07-15 10:07:55.5480;;;;;;
URU_CAL_PR Ajustado 1 (%);2026-07-15 10:08:46.4050;;;;;;
URU_CAL_PR Ajustado Total (%);2026-07-15 10:02:45.4310;;;;;;
URU_CAL_PR Ajustado Total (%);2026-07-15 10:03:46.3740;;;;;;
URU_CAL_PR Ajustado Total (%);2026-07-15 10:07:45.4310;;;;;;
URU_CAL_PR Ajustado Total (%);2026-07-15 10:08:46.3740;;;;;;
URU_CAL_PR Simples 1 (%);2026-07-15 10:02:01.6940;;;;;;
URU_CAL_PR Simples 1 (%);2026-07-15 10:03:46.3890;;;;;;
URU_CAL_PR Simples 1 (%);2026-07-15 10:07:01.6940;;;;;;
URU_CAL_PR Simples 1 (%);2026-07-15 10:08:46.3890;;;;;;
URU_CAL_PR Simples Total (%);2026-07-15 10:02:01.6630;;;;;;
URU_CAL_PR Simples Total (%);2026-07-15 10:03:46.3740;;;;;;
URU_CAL_PR Simples Total (%);2026-07-15 10:07:01.6630;;;;;;
URU_CAL_PR Simples Total (%);2026-07-15 10:08:46.3740;;;;;;
URU_Inv_1.10_CAL_Energia Esperada (KWh);2026-07-15 10:02:01.9130;;;;;;
URU_Inv_1.10_CAL_Energia Esperada (KWh);2026-07-15 10:03:46.5610;;;;;;
URU_Inv_1.10_CAL_Energia Esperada (KWh);2026-07-15 10:07:01.9130;;;;;;
URU_Inv_1.10_CAL_Energia Esperada (KWh);2026-07-15 10:08:46.5610;;;;;;
URU_Inv_1.10_CAL_Energia Total Acumulada (KWh);2026-07-15 10:02:01.9290;;;;;;
URU_Inv_1.10_CAL_Energia Total Acumulada (KWh);2026-07-15 10:03:46.5770;;;;;;
